State,City,Airport,LocID,"Ownership","Svc Lvl","Hub","Role","Enplaned","Based Aircraft","Development Estimate 2025-2029"
Alaska,Pilot Station,Pilot Station,0AK,PU,CS,,Local,"3,195",0,"1,100,000"
Alaska,Platinum,Platinum,PTU,PU,GA,,Basic,485,0,"1,500,000"
Alaska,Point Baker,Point Baker,KPB,PU,GA,,Unclassified,3,0,0
Alaska,Point Hope,Point Hope,PHO,PU,CS,,Local,"4,052",0,"1,093,333"
Alaska,Point Lay,Point Lay LRRS,PIZ,MA,GA,,Basic,"1,470",0,"1,316,100"
Alaska,Port Alexander,Port Alexander,AHP,PU,GA,,Basic,123,0,"2,500,000"
Alaska,Port Graham,Port Graham,PGM,PU,GA,,Basic,"1,605",0,"1,500,000"
Alaska,Port Heiden,Port Heiden,PTH,PU,GA,,Basic,814,0,"985,000"
Alaska,Port Lions,Port Lions,ORI,PU,GA,,Basic,"1,289",0,"25,617,940"
Alaska,Port Protection,Port Protection,19P,PU,GA,,Basic,21,0,"3,500,000"
Alaska,Portage Creek,Portage Creek,A14,PU,GA,,Basic,0,0,0
Alaska,Quinhagak,Quinhagak,AQH,NA,CS,,Local,"5,119",1,"15,666,667"
Alaska,Rampart,Rampart,RMP,PU,GA,,Basic,554,0,"5,690,000"
Alaska,Red Devil,Red Devil,RDV,PU,GA,,Basic,61,0,"6,316,456"
Alaska,Ruby,Ruby,RBY,PU,GA,,Basic,"1,476",5,"16,500,000"
Alaska,Russian Mission,Russian Mission,RSH,PU,GA,,Basic,"2,303",0,"8,880,000"
Alaska,Saint Mary's,St Mary's,KSM,PU,CS,,Local,"4,912",0,"1,220,000"
Alaska,Saint Michael,St Michael,SMK,PU,GA,,Basic,"1,831",0,"1,743,038"
Alaska,Saint Paul Island,St Paul Island,SNP,PU,GA,,Basic,"1,775",0,"752,000"
Alaska,Sand Point,Sand Point,SDP,PU,CS,,Local,"2,818",1,"3,100,000"
Alaska,Savoonga,Savoonga,SVA,PU,CS,,Local,"3,310",0,"3,100,000"
Alaska,Scammon Bay,Scammon Bay,SCM,PU,CS,,Local,"3,583",0,"28,872,531"
Alaska,Selawik,Selawik,WLK,PU,CS,,Local,"3,974",0,"62,197,206"
Alaska,Seldovia,Seldovia,SOV,PU,CS,,Local,"3,381",2,"16,153,000"
Alaska,Seward,Seward,SWD,PU,GA,,Local,6,23,"39,935,114"
Alaska,Shageluk,Shageluk,SHX,PU,GA,,Basic,486,0,"1,200,000"
Alaska,Shaktoolik,Shaktoolik,2C7,PU,GA,,Basic,"1,627",0,"30,380,000"
Alaska,Sheldon Point,Nunam Iqua,SXP,PU,GA,,Basic,999,0,"29,921,980"
Alaska,Shishmaref,Shishmaref,SHH,PU,CS,,Local,"3,477",0,"690,000"
Alaska,Shungnak,Shungnak,SHG,PU,GA,,Basic,"1,563",0,"10,620,000"
Alaska,Sitka,Sitka,A29,PU,GA,,Unclassified,100,2,0
